bülten no,fert no,cinsiyet,doğum tarihi gün,doğum tarihi ay,doğum tarihi yıl,yaş,doğum yeri,doğum yeri ülke kodu,uyruk,uyruk ülke kodu,yakınlık durumu,eğitim,okuma yazma durumu,eğitime devam etme durumu,devam edilen okul,çocuğun kendi masaüstü bilgisayarı,çocuğun kendi dizüstü bilgisayarı,çocuğun kendi tableti,çocuğun kendi cep telefonu,çocuğun kendi akıllı saati,çocuğun kendi oyun konsolu,bilgisayar oyunu oynama sıklığı,spor yapma sıklığı,kitap okuma sıklığı,diğer hobiler sıklığı,eğlenmek için dışarı çıkma sıklığı,internette gezinme sıklığı,tv programları izleme sıklığı,cep telefonu kullanım durumu,cep telefonu kullanım sıklığı,hafta içi cep telefonu ortalama kullanımı,hafta sonu cep telefonu ortalama kullanımı,cep telefonu konuşma amaçlı,cep telefonu mesaj amaçlı,cep telefonu sosyal medya amaçlı,cep telefonu oyun amaçlı,cep telefonu film amaçlı,cep telefonu müzik amaçlı,cep telefonu internette gezinme amaçlı,cep telefonu ders/ödev amaçlı,cep telefonu online derse katılma amaçlı,çocuk yarım saatte bir telefonunu kontrol ediyor,uyumadan son iş olarak telefon kontrol eder,uyanınca ilk iş olarak telefon kontrol eder,tv izlerken telefon kullanma,başkaları ile yemek yerken telefon kullanma,bilgisayar kullanım durumu,bilgisayar türü masaüstü,bilgisayar türü dizüstü,bilgisayar türü tablet,bilgisayar kullanım sıklığı,hafta içi ortalama bilgisayar kullanımı,hafta sonu ortalama bilgisayar kullanımı,bilgisayarda oyun oynama/indirme,bilgisayarda ders/sunum/ödev ,bilgisayarda online derse katılma,bilgisayarda müzik/film,bilgisayarda internette gezinme,bilgisayarda sosyal medya,internet kullanım durumu,internet kullanım sıklığı,hafta içi günde internet kullanım ortalaması,hafta sonu günde internet kullanım ortalaması,interneti ödev/ders amaçlı kullanma,interneti sosyal medya amaçlı kullanma,interneti eposta gönderme/alma amaçlı kullanma,interneti arama/mesaj amaçlı kullanma,interneti oyun indirme/oynama amaçlı kullanma,interneti müzik dinleme amaçlı kullanma,interneti video izleme amaçlı kullanma,interneti mal ve hizmetler hakkında bilgi amaçlı kullanma,internet üzerinden alışveriş yapma,internet üzerinden diğer,internet üzerinden diğer açıklama,sosyal medya kullanım durumu,youtube kullanımı,instagram kullanımı,twitter kullanımı,facebook kullanımı,tiktok kullanımı,snapchat kullanımı,pinterest kullanımı,diğer kullanılan sosyal medyalar,diğer kullanılan sosyal medyalar açıklama,sosyal medya kullanım sıklığı,hafta içi ortalama sosyal medya kullanımı,hafta sonu ortalama sosyal medya kullanımı,dijital oyun oynama,dijital oyun oynama sıklığı,hafta içi ortalama dijital oyun oynama,hafta sonu ortalama dijital oyun oynama,dijital oyun türü rol yapma,dijital oyun türü strateji,dijital oyun türü spor,dijital oyun türü macera,dijital oyun türü savaş,dijital oyun türü simülasyon,dijital oyunda çok fazla zaman harcama,ailesi çok fazla dijital oyun oynadığını düşünüyor,dijital oyun oynamadığı zaman kendini mutsuz hissediyor,fazla dijital oyun oynadığı için sorumluluklarını aksatıyor,planlanan süreden fazla dijital oyun oynama,ekran başında fazla zaman geçirmekten az ders çalışma,ekran başında fazla zaman geçirmekten aile ile daha az zaman geçirme,ekran başında fazla zaman geçirmekten az kitap okuma,ekran başında fazla zaman geçirmekten az uyku,ekran başında fazla zaman geçirmekten arkadasları ile az görüşme,çocuk ağırlık katsayısı
1000068682,3,2,29.0,11.0,2008,15,1,,1,,3,3,,1,4.0,1,2,2,1,2,2,13,5,23,5,6,6,5,1,16.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1,1.0,2.0,2.0,13.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1,16.0,4.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,1,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,,16.0,3.0,3.0,2,,,,,,,,,,,,,,,1,2,1,1,2,2708.20877916811
1000610731,2,1,19.0,1.0,2010,14,1,,1,,3,3,,1,4.0,2,2,2,1,1,2,5,5,5,6,23,6,5,1,17.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2,,,,,,,,,,,,,1,16.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,,1,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,,16.0,1.0,1.0,1,16.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1,1,2,2,2,2702.12525242383
1000610731,5,2,3.0,12.0,2008,15,1,,1,,3,3,,1,4.0,2,2,2,1,2,2,5,13,13,5,13,5,5,1,16.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,,,,,,,,,,,,,1,17.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2702.12525242383
1000610731,6,2,12.0,7.0,2011,12,1,,1,,3,2,,1,3.0,2,2,2,2,2,2,5,13,6,5,13,5,13,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,2,1,2,2,2702.12525242383
1000952935,5,2,13.0,3.0,2013,11,1,,1,,3,2,,1,3.0,2,2,1,1,2,2,29,5,6,13,6,13,13,1,17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1,2.0,2.0,1.0,9.0,,,,,,,,,1,16.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,9.0,,,1,17.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2,2,2,2,2,1373.15724873015
1001502192,4,1,4.0,2.0,2012,12,1,,1,,3,2,,1,3.0,1,2,2,1,1,2,13,6,6,5,13,13,6,1,16.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1,1.0,2.0,2.0,17.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1,16.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,16.0,2.0,3.0,1,17.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2,2,2,2,1,979.028611586056
1001820891,5,1,30.0,10.0,2009,14,1,,1,,3,3,,1,4.0,2,2,2,1,2,2,5,6,13,13,13,6,5,1,16.0,3.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2,,,,,,,,,,,,,1,16.0,3.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,2,,,,,,,,,,,,,1,9.0,,,,,,,,,,,,,,2,1,2,2,1,1390.79383646119
1002141297,6,1,26.0,11.0,2009,14,1,,1,,3,3,,1,4.0,2,2,2,2,2,2,5,6,13,6,6,13,13,1,9.0,,,,,,,,,,,,,,,,,1,1.0,2.0,2.0,9.0,,,,,,,,,1,9.0,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,1808.8813118168
1002789848,4,1,9.0,11.0,2017,6,1,,1,,5,0,,1,0.0,2,2,1,2,1,2,6,13,5,13,6,6,6,2,,,,,,,,,,,,,,,,,,1,2.0,2.0,1.0,17.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1,17.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,13.0,1.0,2.0,1,17.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1,2,2,2,2,1811.0047817619
1003101316,3,1,22.0,4.0,2015,8,1,,1,,3,1,1.0,1,2.0,2,1,2,1,2,2,13,5,6,13,13,13,13,1,13.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1,2.0,1.0,2.0,17.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1,17.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,,2,,,,,,,,,,,,,1,17.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2,2,2,1643.29234184514
1003609201,3,2,23.0,4.0,2014,9,1,,1,,3,1,1.0,1,2.0,2,2,1,2,1,2,5,6,6,13,6,6,6,2,,,,,,,,,,,,,,,,,,1,2.0,2.0,1.0,16.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1,16.0,5.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,16.0,4.0,5.0,2,,,,,,,,,,,,,,,2,2,2,2,2,1181.36923606786
1003609201,4,1,23.0,4.0,2014,9,1,,1,,3,1,1.0,1,2.0,2,2,1,2,1,2,5,6,6,13,6,6,6,2,,,,,,,,,,,,,,,,,,1,2.0,2.0,1.0,16.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1,16.0,5.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,16.0,4.0,5.0,2,,,,,,,,,,,,,,,2,2,2,2,2,1181.36923606786
1003923560,3,2,14.0,5.0,2015,8,1,,1,,3,1,1.0,1,2.0,2,2,2,2,2,2,5,5,13,6,13,6,6,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,16.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,2,,,,,,,,,,,,,1,9.0,,,,,,,,,,,,,,2,2,1,1,2,812.810599414029
1004247894,4,1,22.0,1.0,2009,15,1,,1,,3,3,,1,4.0,1,2,2,1,2,1,13,5,13,5,6,6,13,1,17.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1,1.0,2.0,2.0,13.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1,17.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,1,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,17.0,1.0,1.0,1,13.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2,2,2,1,2,1401.40456400313
1004566525,3,2,13.0,5.0,2015,8,1,,1,,3,1,1.0,1,2.0,2,1,2,2,1,2,13,5,6,6,6,6,5,2,,,,,,,,,,,,,,,,,,1,2.0,1.0,2.0,17.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1,16.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,16.0,2.0,2.0,1,16.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1,2,2,2,2,2241.69432594167
1004887848,4,2,2.0,7.0,2017,6,1,,1,,3,0,,1,2.0,2,2,1,2,2,2,13,13,13,6,13,6,13,2,,,,,,,,,,,,,,,,,,1,2.0,1.0,1.0,13.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1,17.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,17.0,1.0,2.0,1,13.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2,1,2,2,1691.92221465969
1005197817,5,2,2.0,4.0,2015,8,1,,1,,3,1,1.0,1,2.0,2,2,2,2,2,2,5,6,6,13,6,13,5,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,9.0,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,2,1,2,2,963.182597228139
1005702301,4,2,30.0,3.0,2012,12,1,,1,,3,2,,1,3.0,2,2,1,2,2,2,13,13,6,13,13,13,13,1,17.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1,2.0,2.0,1.0,17.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1,17.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,1,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,13.0,2.0,2.0,1,17.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2,2,2,2,1,1769.80165077592
