video_id,video_baslik,keyword,yorum,begeni,yanit_sayisi,tarih,kanal,temiz_yorum,duygu,duygu_skor,lda_konu,lda_skor
o47mZCjmg-4,Telefonu şuna veriyorum ama Dijital Sirk @Orion_Records,dijitalleşme Türkiye,Jax'i dışlamışlar,62,19,2026-06-04 20:09:46+00:00,,dışlamış,Nötr,0.5,2,0.2513
o47mZCjmg-4,Telefonu şuna veriyorum ama Dijital Sirk @Orion_Records,dijitalleşme Türkiye,Jaxi gordugum zaman rahatca olebilirim,189,13,2025-08-02 15:07:27+00:00,,jaxi gordugu zama rahat olebilir,Nötr,0.5,3,0.4393
o47mZCjmg-4,Telefonu şuna veriyorum ama Dijital Sirk @Orion_Records,dijitalleşme Türkiye,Sebinchi abla da geldiğine göre artık güzel güzel Dijital sirk i izleyebilirim ❤,278,18,2024-09-23 17:17:04+00:00,,sebinchi geldik gör güzel güzel dijital izleyebilir pozitif,Pozitif,0.79,4,0.3467
o47mZCjmg-4,Telefonu şuna veriyorum ama Dijital Sirk @Orion_Records,dijitalleşme Türkiye,🪄tElefoNu aĞlağA vEriYorUm🪄,332,8,2024-10-03 18:52:59+00:00,,telefo ağlak veriyor,Nötr,0.5,2,0.5016
o47mZCjmg-4,Telefonu şuna veriyorum ama Dijital Sirk @Orion_Records,dijitalleşme Türkiye,LÜTFEN RAGATHA CAİNE VE JAX'TE OLSUNNN,128,11,2024-09-15 18:13:14+00:00,,lütfe ragatha cai olsunn,Nötr,0.5,3,0.3573
o47mZCjmg-4,Telefonu şuna veriyorum ama Dijital Sirk @Orion_Records,dijitalleşme Türkiye,Sevinchi'de geldiğine göre artik huzurla ölebilirim 😌,37,0,2024-11-06 19:42:01+00:00,,sevinchi geldik gör artik huzur ölebilir,Nötr,0.5,5,0.5466
o47mZCjmg-4,Telefonu şuna veriyorum ama Dijital Sirk @Orion_Records,dijitalleşme Türkiye,Keşke gangle telefonu jax'e verseydi ve şöyle deseydi komedi maskemi kırana veriyorum ühühüh😅,6,0,2024-09-23 18:30:19+00:00,,keşke gangle telefo verse des komedi maske kıra veriyor ühühüh,Nötr,0.5,2,0.5909
o47mZCjmg-4,Telefonu şuna veriyorum ama Dijital Sirk @Orion_Records,dijitalleşme Türkiye,Çok tatlisinizz ilk bu aradaa❤❤❤❤,22,3,2024-09-14 15:16:21+00:00,,tatlisinizz ilk aradaa pozitif pozitif pozitif pozitif,Pozitif,0.67,6,0.6395
o47mZCjmg-4,Telefonu şuna veriyorum ama Dijital Sirk @Orion_Records,dijitalleşme Türkiye,DOĞUKAN ABİ NİE YOOOKK (Jax üzüldü😢),10,0,2026-01-26 17:08:02+00:00,,doğuka yoookk üzül negatif,Negatif,0.67,3,0.3645
o47mZCjmg-4,Telefonu şuna veriyorum ama Dijital Sirk @Orion_Records,dijitalleşme Türkiye,Jax de yapın lütfennnn,9,0,2025-01-29 12:46:24+00:00,,yap lütfennn,Nötr,0.5,3,0.4831
